T,seed,metric,value
200,11,gas_M,60.32664272434231
200,11,gas_E,67.97710328425724
200,11,gas_total,128.30374600859955
200,11,gas_total_pct,2.62793674282651
200,11,cost_pct,-27.019469259761912
200,11,dCS,3365.659976263869
200,11,dSolar,1985.9837297257227
200,11,dGasRent,-3024.842094689774
200,11,dTotal,2326.8016112998203
200,12,f,0.6326666666666667
200,12,ratio,0.8734232509094761
200,12,profit,274.81612104896516
200,12,gas_M,60.738361416966484
200,12,gas_E,67.67952769998752
200,12,gas_total,128.417889116954
200,12,gas_total_pct,2.7570131337322334
200,12,cost_pct,-26.904199029508785
200,12,dCS,3365.658652900718
200,12,dSolar,1960.6875093317667
200,12,dGasRent,-3010.5434830009754
200,12,dTotal,2315.8026792315122
200,13,f,0.6305999999999999
200,13,ratio,0.8715524456049514
200,13,profit,275.2756795386822
200,13,gas_M,60.57506666594872
200,13,gas_E,67.5794816359449
200,13,gas_total,128.1545483018936
200,13,gas_total_pct,2.4303674942249907
200,13,cost_pct,-27.3678940320937
200,13,dCS,3450.5672539769002
200,13,dSolar,1975.242347668208
200,13,dGasRent,-3066.7619487559286
200,13,dTotal,2359.047652889173
200,14,f,0.6294333333333333
200,14,ratio,0.8690168132530546
200,14,profit,275.50151293444287
200,14,gas_M,60.46119924431696
200,14,gas_E,67.5933122676548
200,14,gas_total,128.05451151197175
200,14,gas_total_pct,2.5762998214775212
200,14,cost_pct,-27.287999341713498
200,14,dCS,3414.2705040576584
200,14,dSolar,1981.0168787005468
200,14,dGasRent,-3049.5102598198555
200,14,dTotal,2345.7771229383443
200,15,f,0.6317666666666666
200,15,ratio,0.8712367131828088
200,15,profit,275.166800456298
200,15,gas_M,60.65334503285252
200,15,gas_E,67.66803984632718
200,15,gas_total,128.3213848791797
200,15,gas_total_pct,2.6660037808277437
200,15,cost_pct,-27.07029284900768
200,15,dCS,3388.703482873185
200,15,dSolar,1971.5108464412806
200,15,dGasRent,-3029.686360047306
200,15,dTotal,2330.527969267154
200,16,f,0.6359666666666667
200,16,ratio,0.8786976174090289
200,16,profit,274.59777156786856
200,16,gas_M,60.919169005356025
200,16,gas_E,67.5214388851618
200,16,gas_total,128.4406078905178
200,16,gas_total_pct,2.8268866194072833
200,16,cost_pct,-26.891200930355634
200,16,dCS,3366.402631307421
200,16,dSolar,1954.1801419762733
200,16,dGasRent,-3007.2859153342706
200,16,dTotal,2313.2968579494363
200,17,f,0.6309666666666667
200,17,ratio,0.8691781588027412
200,17,profit,275.2232221781746
200,17,gas_M,60.62567225806833
200,17,gas_E,67.75846352459604
200,17,gas_total,128.38413578266437
200,17,gas_total_pct,2.645691318086503
200,17,cost_pct,-27.038580318151325
200,17,dCS,3385.0208989360835
200,17,dSolar,1973.403725828106
200,17,dGasRent,-3028.6747879102004
200,17,dTotal,2329.7498368539946
200,18,f,0.6313
200,18,ratio,0.8708385181018111
200,18,profit,274.96567365787183
200,18,gas_M,60.64854171377651
200,18,gas_E,67.75416365706354
200,18,gas_total,128.40270537084007
200,18,gas_total_pct,2.687991505338744
200,18,cost_pct,-26.951654748837985
200,18,dCS,3373.977929721954
200,18,dSolar,1965.3942269240379
200,18,dGasRent,-3017.906001582516
200,18,dTotal,2321.466155063473
200,19,f,0.6305
200,19,ratio,0.8702177850829037
200,19,profit,275.2141270050391
200,19,gas_M,60.53985537065786
200,19,gas_E,67.66048794785343
200,19,gas_total,128.20034331851127
200,19,gas_total_pct,2.574040298195721
200,19,cost_pct,-27.17849520131773
200,19,dCS,3408.412739241179
200,19,dSolar,1972.9134304563295
200,19,dGasRent,-3041.6191393942518
200,19,dTotal,2339.7070303032633
500,0,f,0.6328333333333334
500,0,ratio,0.874404309706521
500,0,profit,275.18752658035066
500,0,gas_M,60.68320576440885
500,0,gas_E,67.48232794355667
500,0,gas_total,128.16553370796552
500,0,gas_total_pct,2.4290339088368054
500,0,cost_pct,-27.40499550033498
500,0,dCS,3461.3960811582765
500,0,dSolar,1972.28492525205
500,0,dGasRent,-3071.211003623236
500,0,dTotal,2362.4700027870995
500,1,f,0.6348333333333334
500,1,ratio,0.8771966839021094
